Config, Result
raidz/randread/2/generaluse,20.183
raidz/randread/2/worstcase,.392
raidz/randread/3/bestcase,59.033
raidz/randread/3/generaluse,17.533
raidz/randread/3/worstcase,.356
raidz/randread/4/bestcase,57.350
raidz/randread/4/generaluse,17.083
raidz/randread/4/worstcase,.344
raidz/randread/5/bestcase,60.200
raidz/randread/5/generaluse,17.050
raidz/randread/5/worstcase,.339
raidz/randread/6/bestcase,56.333
raidz/randread/6/generaluse,16.816
raidz/randread/6/worstcase,.340
raidz/randread/4disk2vdev/bestcase,57.450
raidz/randread/4disk2vdev/generaluse,37.850
raidz/randread/4disk2vdev/worstcase,.418
raidz/randread/5disk2vdev/bestcase,60.100
raidz/randread/5disk2vdev/generaluse,28.300
raidz/randread/5disk2vdev/worstcase,.406
raidz/randread/6disk2vdev/bestcase,57.816
raidz/randread/6disk2vdev/generaluse,32.800
raidz/randread/6disk2vdev/worstcase,.404
raidz/randread/6disk2vdevUneven/bestcase,56.466
raidz/randread/6disk2vdevUneven/generaluse,25.316
raidz/randread/6disk2vdevUneven/worstcase,.388
raidz/randread/6disk3vdev/bestcase,58.650
raidz/randread/6disk3vdev/generaluse,50.933
raidz/randread/6disk3vdev/worstcase,.457
raidz/randwrite/2/bestcase,106.833
raidz/randwrite/2/generaluse,28.366
raidz/randwrite/2/worstcase,1.261
raidz/randwrite/3/bestcase,142.833
raidz/randwrite/3/generaluse,32.000
raidz/randwrite/3/worstcase,1.286
raidz/randwrite/4/bestcase,161.166
raidz/randwrite/4/generaluse,34.566
raidz/randwrite/4/worstcase,1.328
raidz/randwrite/5/bestcase,171.166
raidz/randwrite/5/generaluse,36.216
raidz/randwrite/5/worstcase,1.348
raidz/randwrite/6/bestcase,178.166
raidz/randwrite/6/generaluse,36.183
raidz/randwrite/6/worstcase,1.367
raidz/randwrite/4disk2vdev/bestcase,158.333
raidz/randwrite/4disk2vdev/generaluse,40.533
raidz/randwrite/4disk2vdev/worstcase,1.406
raidz/randwrite/5disk2vdev/bestcase,179.166
raidz/randwrite/5disk2vdev/generaluse,41.750
raidz/randwrite/5disk2vdev/worstcase,1.425
raidz/randwrite/6disk2vdev/bestcase,195.000
raidz/randwrite/6disk2vdev/generaluse,45.366
raidz/randwrite/6disk2vdev/worstcase,1.462
raidz/randwrite/6disk2vdevUneven/bestcase,190.666
raidz/randwrite/6disk2vdevUneven/generaluse,43.116
raidz/randwrite/6disk2vdevUneven/worstcase,1.433
raidz/randwrite/6disk3vdev/bestcase,188.000
raidz/randwrite/6disk3vdev/generaluse,48.733
raidz/randwrite/6disk3vdev/worstcase,1.475
raidz/randrw/2/bestcase Read,34.833
raidz/randrw/2/bestcase Write,36.700
raidz/randrw/2/generaluse Read,8.501
raidz/randrw/2/generaluse Write,8.677
raidz/randrw/2/worstcase Read,.183
raidz/randrw/2/worstcase Write,.190
raidz/randrw/3/bestcase Read,41.433
raidz/randrw/3/bestcase Write,43.116
raidz/randrw/3/generaluse Read,7.809
raidz/randrw/3/generaluse Write,7.958
raidz/randrw/3/worstcase Read,.171
raidz/randrw/3/worstcase Write,.178
raidz/randrw/4/bestcase Read,42.000
raidz/randrw/4/bestcase Write,43.800
raidz/randrw/4/generaluse Read,7.489
raidz/randrw/4/generaluse Write,7.638
raidz/randrw/4/worstcase Read,.166
raidz/randrw/4/worstcase Write,.173
raidz/randrw/5/bestcase Read,44.150
raidz/randrw/5/bestcase Write,46.066
raidz/randrw/5/generaluse Read,7.925
raidz/randrw/5/generaluse Write,8.055
raidz/randrw/5/worstcase Read,.165
raidz/randrw/5/worstcase Write,.172
raidz/randrw/6/bestcase Read,42.966
raidz/randrw/6/bestcase Write,44.766
raidz/randrw/6/generaluse Read,7.654
raidz/randrw/6/generaluse Write,7.809
raidz/randrw/6/worstcase Read,.159
raidz/randrw/6/worstcase Write,.166
raidz/randrw/4disk2vdev/bestcase Read,41.416
raidz/randrw/4disk2vdev/bestcase Write,43.100
raidz/randrw/4disk2vdev/generaluse Read,14.483
raidz/randrw/4disk2vdev/generaluse Write,14.716
raidz/randrw/4disk2vdev/worstcase Read,.201
raidz/randrw/4disk2vdev/worstcase Write,.210
raidz/randrw/5disk2vdev/bestcase Read,43.566
raidz/randrw/5disk2vdev/bestcase Write,45.450
raidz/randrw/5disk2vdev/generaluse Read,12.366
raidz/randrw/5disk2vdev/generaluse Write,12.616
raidz/randrw/5disk2vdev/worstcase Read,.192
raidz/randrw/5disk2vdev/worstcase Write,.200
raidz/randrw/6disk2vdev/bestcase Read,44.483
raidz/randrw/6disk2vdev/bestcase Write,46.433
